area,bedrooms,bathrooms,floors,parking,location,yearBuilt,price
1360,2,2,9,Yes,Pune,1995,7514000
4272,5,4,1,Yes,Chennai,2002,21678000
3592,5,4,6,Yes,Chennai,2019,23738000
966,2,2,6,Yes,Pune,2008,6535000
3944,4,4,5,Yes,Hyderabad,2003,27054000
3671,5,5,13,Yes,Hyderabad,1996,22386000
3419,4,4,5,Yes,Mumbai,2019,44543000
630,1,1,1,Yes,Mumbai,2017,8705000
2185,2,1,10,Yes,Mumbai,1999,25222000
1269,2,2,12,Yes,Bangalore,2017,11817000
2891,3,2,5,Yes,Bangalore,2023,24595000
2933,4,4,2,Yes,Mumbai,2019,41720000
1684,1,1,7,No,Hyderabad,2002,10717000
3885,4,3,3,No,Bangalore,2010,29468000
4617,5,4,13,Yes,Mumbai,2016,66970000
3404,5,5,15,Yes,Delhi,2010,30244000
974,1,1,4,Yes,Hyderabad,2007,6474000
1582,1,1,3,Yes,Mumbai,2014,19561000
3058,3,2,3,Yes,Delhi,2023,31356000
2547,4,3,4,Yes,Bangalore,2009,20495000
3247,3,2,5,Yes,Hyderabad,1995,18468000
1475,1,1,1,No,Bangalore,2016,11261000
2306,2,2,4,Yes,Bangalore,1997,15855000
689,1,1,12,Yes,Chennai,2000,4679000
3234,4,4,12,Yes,Hyderabad,2016,21729000
3505,5,5,11,Yes,Delhi,2008,30236000
2399,2,2,8,Yes,Hyderabad,1998,15637000
1767,2,2,10,Yes,Bangalore,2012,15505000
2028,3,2,7,No,Mumbai,2009,25144000
3702,5,4,9,Yes,Bangalore,2003,28091000
4056,5,5,5,Yes,Mumbai,2012,53800000
4390,5,5,13,No,Hyderabad,1997,26466000
1146,1,1,15,Yes,Bangalore,2004,9818000
3388,4,3,10,No,Mumbai,2011,44038000
2935,3,2,4,Yes,Bangalore,2001,22219000
1100,1,1,8,Yes,Pune,2009,7180000
2863,5,5,9,Yes,Mumbai,1995,29667000
2561,4,4,13,Yes,Bangalore,2021,22269000
741,2,2,7,Yes,Hyderabad,2019,6189000
2541,4,4,14,Yes,Mumbai,2021,36310000
3324,4,4,7,No,Delhi,2005,30259000
3112,5,4,5,No,Bangalore,2011,25552000
1863,2,2,4,Yes,Pune,1999,10523000
1978,3,2,14,Yes,Bangalore,2001,15813000
3056,4,4,10,Yes,Pune,2013,18849000
1275,1,1,1,Yes,Hyderabad,2019,9255000
4514,5,5,10,Yes,Pune,2018,29408000
534,1,1,10,Yes,Mumbai,2023,8583000
3652,5,5,7,Yes,Bangalore,2009,30269000
2455,3,2,1,Yes,Bangalore,1997,17502000
2085,1,1,1,No,Bangalore,2009,16025000
4443,5,4,5,Yes,Chennai,1999,22545000
3573,5,5,13,Yes,Hyderabad,2017,27018000
1521,1,1,9,Yes,Hyderabad,2006,9815000
